model,mean_test_score,std_test_score
Lasso,0.81235,0.0034772674456948166
Ridge,0.8124333333333332,0.003456234302757199
RF,0.8151666666666666,0.0046589221452558675
KNN,0.8140833333333333,0.0035825580556666826
