model,mean_test_score,std_test_score
Lasso,0.36496159766903175,0.01242091614526899
Ridge,0.3647795283440029,0.012244645360199403
RF,0.475269509419754,0.00875446580712642
KNN,0.4579699903853102,0.00853182822114172
